Article,Statut,Prix (€),Prix de vente initial (€),Frais de livraison (€),Suivi par (personnes),Vendus,Lien du produit
10A 3/64Gb 3G / LTE / GPS Black Unlocked,Particulier,"147,79",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285902270451?itmmeta=01J0C5D23AMD38XGW6T6C9EK7G&hash=item42911a6ff3:g:tBIAAOSwwZtjQt-R
Micromax Canvas Blaze MT500 White mobile phone sell Parts,Professionnel,"65,26",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285466430409?itmmeta=01J0C5D23AKY8S3KSZ7CK045Z9&hash=item4277200bc9:g:Js4AAOSw2OxksRoG
Téléphone portable Alcatel OT-2038X (débloqué) excellent état avec chargeur,Professionnel,"33,17",N/A,"18,95",0,0,https://www.ebay.fr/itm/266497316221?itmmeta=01J0C5D23ADYEZP5RQAW4A1BG4&hash=item3e0c7a557d:g:5mMAAOSwV8dmZ7Kb
12 4/128GB 3G / LTE / GPS Blue Unlocked,Particulier,"159,61",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285900432651?itmmeta=01J0C5D23A5506HN3RAK5PVWK8&hash=item4290fe650b:g:NsMAAOSwyVRjpc27
Nokia 6111 Libero Buon Stato (Leggi Descrizione),Professionnel,"50,41",N/A,"7,60",0,0,https://www.ebay.fr/itm/225518314919?itmmeta=01J0C5D23ARYQ4DG07FTXQT0ED&hash=item3481f065a7:g:eEoAAOSwfblg-v5h
Samsung Galaxy S7 12MP G930T T-Mobile G930A AT&T G930V Verizon G930P Sprint,Professionnel,"93,39","99,35",Livraison gratuite,0,0,https://www.ebay.fr/itm/256373081502?itmmeta=01J0C5D23AMHFYM0K00DRHJBBF&hash=item3bb106c59e:g:ZusAAOSwf3Vd0qrC&var=556455740097
Samsung Galaxy A51 SM-A515U (USA) Single-SIM 128GB ROM Smart Phone,Professionnel,"120,65","128,35",Livraison gratuite,0,0,https://www.ebay.fr/p/4038381615?iid=176046116533&var=475492870731&rt=nc
9C 3/64 Go 3G / LTE / GPS vert débloqué,Particulier,"157,83",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285882611327?itmmeta=01J0C5D23A99HG1YAWNQFNE7V4&hash=item428fee767f:g:wt8AAOSw6Udjb54p
TracFone(Locked) TCL Flip 2- 1GB RAM-8GB Memory  Flip Phone- NO SIM CARD !!!,Professionnel,"25,07",N/A,"70,60",0,0,https://www.ebay.fr/itm/395204654831?itmmeta=01J0C5D23AG92P6GGSNC3SWWSV&hash=item5c040876ef:g:f88AAOSwmfFk9Csk
GPS Sony Ericsson Aspen M1 M1i 3G Bluetooth FM Radio Original Mobile Phone,Professionnel,"60,80",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/363532540936?itmmeta=01J0C5D23A55E9CX4V5APY8NAY&hash=item54a43a5c08:g:6HkAAOSwHJhXM~Dd&var=632756287848
Samsung Galaxy Xcover 5 G525F SM-G525F/DS Original Android Smartphone Dual SIM,Professionnel,"118,67","126,25",Livraison gratuite,0,0,https://www.ebay.fr/itm/256320771574?itmmeta=01J0C5D23AHZWN6JM86HA2XWDM&hash=item3bade895f6:g:kOYAAOSw7XJkDIbc&var=556368034404
Mason D450C1 Cell Phone Black ORG LOCK,Professionnel,"17,63",N/A,"102,57",0,0,https://www.ebay.fr/itm/145726817110?itmmeta=01J0C5D23A622BNMVR2QEBVWEF&hash=item21edfec356:g:mNoAAOSw0lxmHUpi
Moto g stylus (2023)-64GB-Cricket wireless,Particulier,"83,54",N/A,"34,18",0,0,https://www.ebay.fr/itm/335021301615?itmmeta=01J0C5D23AWRPYW27RTHM78WRG&hash=item4e00d35f6f:g:2HcAAOSwD61k-Ryr
10 Pro 6/128GB 3G / LTE / GPS Bronze Unlocked Unlocked,Particulier,"231,02",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285902270480?itmmeta=01J0C5D23AQ6P9R0S0C3N28F36&hash=item42911a7010:g:GeIAAOSwQtxjQDFN
"Android Samsung Galaxy Note 4 Duos Dual SIM N9100 16MP Smartphone 4G LTE 5.7""",Professionnel,"78,09","82,21",Livraison gratuite,0,0,https://www.ebay.fr/itm/404619848432?itmmeta=01J0C5D23AQVZY8J5DF53V6F88&hash=item5e3538eaf0:g:lN8AAOSwZqZaDFES&var=674611668980
Original Android Samsung Galaxy A5 SM-A500F 16GB 4 G LTE Quad-Core 13MP 5.0'',Professionnel,"80,45",N/A,Livraison gratuite,0,0,https://www.ebay.fr/p/208577713?iid=364577591726&var=634092741402&rt=nc
Samsung Galaxy S6 - 32 GB -in 3 colori,Professionnel,"159,79","169,99","29,99",1,0,https://www.ebay.fr/itm/224864216162?itmmeta=01J0C5D23AF1N3G8X3QBMATMER&hash=item345af3a462:g:gHkAAOSwArliH08h
"LG LOTUS (SPRINT) UNKNOWN ESN, WORKS, PLEASE READ! 49921",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175335510321?itmmeta=01J0C5D23AT5ENG32HNKRE1KC0&hash=item28d2cf9131:g:43IAAOSwcpFivJbO
"UNKNOWN LG PHONE (UNKNOWN CARRIER) UNKNOWN ESN, WORKS, PLEASE READ!! 59557",Professionnel,"22,39",N/A,"245,95",0,0,https://www.ebay.fr/itm/186312745219?itmmeta=01J0C5D23AGCQJPA4XT02SSWAB&hash=item2b611ae103:g:P28AAOSw2s1l2N-m
12 4/128GB 3G / LTE / GPS Red Unlocked,Particulier,"199,45",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285902270435?itmmeta=01J0C5D23AX6Q2VEDEHYKSGBED&hash=item42911a6fe3:g:SX8AAOSwIlFjpdA3
"Original Nokia 3410 Handy Entsperrt, Original Gehäuse, Netzstecker Option",Professionnel,"12,82  à 19,82",N/A,"15,15",0,0,https://www.ebay.fr/itm/232553384599?itmmeta=01J0C5D23A8WR1FKMH9G92C1J4&hash=item3625430a97:g:zaoAAOSwFJBZSU-D&var=531912796751
LG A341 - Gray - (Unlocked) Flip Phone ,Particulier,"70,87",N/A,0,0,0,https://www.ebay.fr/itm/265726726937?itmmeta=01J0C5D23AJTXFDJ5014D6HW5R&hash=item3dde8c1319:g:di8AAOSwBPRin1q-
"UNKNOWN L51, 8GB (SPRINT) CLEAN ESN, WORKS, PLEASE READ! 47614",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175209627874?itmmeta=01J0C5D23AJFVP5ZVBG9XS6W8A&hash=item28cb4ec0e2:g:ke4AAOSwFkNiOKCG
Nouvelle annonceFull Body Protection Rugged Heavy Duty High Impact Hard for Galaxy A51 5G 6.5'',Particulier,"23,19",N/A,"27,43",0,0,https://www.ebay.fr/itm/126528237172?itmmeta=01J0C5D23AAPFWMCXEDF7N17RW&hash=item1d75abae74:g:00cAAOSwBxRmaymu
Samsung Galaxy A11 A115AZ A115A A115T A115U A115V Single SIM 32GB ROM Phone,Professionnel,"87,28","92,85",Livraison gratuite,0,0,https://www.ebay.fr/p/13051893379?iid=176082393837&var=475536547427&rt=nc
Nouvelle annonceSamsung Galaxy S24 5G Case Slim Anti-Scratch Shockproof Soft TPU Durable Cover,Particulier,"13,92",N/A,"19,61",0,0,https://www.ebay.fr/itm/166822405485?itmmeta=01J0C5D23AC0JE3GSYPKF6500C&hash=item26d763e56d:g:Oo0AAOSw2vdmbDDw
"LG REVERE 3 (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 58710",Professionnel,"9,68",N/A,"245,95",0,0,https://www.ebay.fr/itm/176115029416?itmmeta=01J0C5D23AYDMHQ9YJCGSX6QMH&hash=item29014615a8:g:mQ0AAOSwTAVlgcPf
"LG K10 4G 16GB Single / Dual SIM Unlocked 5.3"" GSM Android Original Smartphone",Professionnel,"71,53  à 75,94","75,30",Livraison gratuite,0,0,https://www.ebay.fr/p/10019983346?iid=276068376906&var=578429271395&rt=nc
"UNKNOWN BUDGET MOBILE (UNKNOWN CARRIER) CLEAN ESN, UNTESTED, PLEASE READ!! 59866",Professionnel,"16,05",N/A,"245,95",0,0,https://www.ebay.fr/itm/176305514568?itmmeta=01J0C5D23B84ZANAM9MTVJFP24&hash=item290ca0a848:g:ulsAAOSwlAFmAtiH
Samsung Galaxy A20 SM-A205U 32GB ROM 3GB RAM Unlocked Smartphone-New Unopened,Professionnel,"99,34",N/A,Livraison gratuite,0,0,https://www.ebay.fr/p/22051628735?iid=196134271867&rt=nc
Smartphone Sony Xperia XA2 Plus H3413 H4493 simple/double SIM débloqué - neuf scellé,Professionnel,"131,56  à 137,48",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285444053021?itmmeta=01J0C5D23B53DWSBCZN7DPR14E&hash=item4275ca981d:g:UCcAAOSwEIxk5tei&var=587375453372
"MOTOROLA MOTO W408G, (TRACFONE), CLEAN ESN, UNTESTED, PLEASE READ! 44719",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/185192695837?itmmeta=01J0C5D23BAM8Y4S3E8RAG3TZV&hash=item2b1e58481d:g:1CEAAOSwArhhpmjQ
Nokia 5165 AT&T Digital PCS Cell Phone For Collectors,Particulier,"41,77",N/A,"37,36",0,0,https://www.ebay.fr/itm/335016546740?itmmeta=01J0C5D23BCS5NE63H13WHJQMK&hash=item4e008ad1b4:g:oRQAAOSwEJ5k2q-e
Apple iPad 2 A1395 16GB Untested For Parts or Repairs Only,Particulier,"17,59",N/A,"19,73",0,0,https://www.ebay.fr/itm/126058670646?itmmeta=01J0C5D23BQ8RR7QV5JB7805P0&hash=item1d59aeaa36:g:XgMAAOSwbrpk4PGU
CELLULARE VK MOBILE CG107 GSM UNLOCKED SIM FREE DEBLOQUE CG 107 ,Particulier,"59,99",N/A,"14,99",0,0,https://www.ebay.fr/itm/266652294800?itmmeta=01J0C5D23B94YDW7FKBZPB4SH8&hash=item3e15b71e90:g:FYwAAOSwRT9iLi~e
BOITE VIDE Original Official Apple IPHONE 6,Professionnel,"47,46",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/116150656794?itmmeta=01J0C5D23BRJJGR4XY5HPMV1N8&hash=item1b0b1e5f1a:g:-dkAAOSwRpNmIAAj
"4G LTE Sony Xperia C4 E5363 Dual SIM 16GB Wifi GPS UNLOCKED Phone 5.5"" 13MP",Professionnel,"84,37",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/195874321584?itmmeta=01J0C5D23BMFT8S5HV3JTH8VZA&hash=item2d9b04f4b0:g:iKMAAOSwX~dWmK8k&var=495712763532
G22 4/64 Go 3G / LTE / GPS noir débloqué,Particulier,"190,11",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285884028211?itmmeta=01J0C5D23BX4BEGBETJMJ4SFBD&hash=item4290041533:g:XPUAAOSwR9VjTBE6
Nouvelle annonceSamsung Galaxy S24 Ultra Case Clear Glitter Slim Flexible Soft TPU Phone Cover,Particulier,"16,70",N/A,"19,70",0,0,https://www.ebay.fr/itm/166822388741?itmmeta=01J0C5D23B5G0DVX2M5AKN65VE&hash=item26d763a405:g:H5IAAOSwIq5mbC6L
Nouvelle annonceNothing Phone (2) Grey 128GB Unlocked - 12GB RAM - Good Condition,Professionnel,"427,04",N/A,"41,56",0,0,https://www.ebay.fr/p/28063020965?iid=285909707275&rt=nc
BL8800 Pro 5G 8/128GB 3G / LTE / GPS Black Unlocked,Particulier,"423,52",N/A,Livraison gratuite,0,0,https://www.ebay.fr/p/26056843379?iid=285900432679&rt=nc
"LG G6 H870(Europe) Dual SIM 4G LTE 32GB 4GB RAM H870DS 64GB 4GB RAM 5.7"" Phone",Professionnel,"106,71  à 113,76","112,32",Livraison gratuite,0,0,https://www.ebay.fr/p/14007397444?iid=195994085164&var=495859866449&rt=nc
8 2/16GB 3G / GPS Green Unlocked,Particulier,"125,14",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285881317775?itmmeta=01J0C5D23CPDW7REY3RC9GJEAR&hash=item428fdab98f:g:6sQAAOSwHINjpa9k
"ALCATEL SPARQ - (T-MOBILE) CLEAN ESN, WORKS, PLEASE READ!! 9462",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/183757056357?itmmeta=01J0C5D23C54P1R6ETRMD2HATV&hash=item2ac8c62965:g:VMUAAOSwwZxb9FaC&amdata=enc%3AAQAJAAAA0FI6bNYhlpnkfCXvO9YRYq%2B3016qg%2BFoSeerBCt5%2B6eE6S6mAYNX170jEIsHvEa3MToOZSOhIvxB7J0m%2BAOYb%2B3zYti%2Fsf--hqN4jL3dYeKgSWbqvtwon%2FLk8oa1CCpoJZKxGWViorcEf61%2F8ZMnl7r0w66tcDQJt4RP6TBRngy5zivLLOyJ%2FM8VBX86UozO2WD%2Bdy5OSOQb1KWeO21mvYu1Vof4LvIBMoHrNSRMYm8bKGJQVpjDJuEJL4n9ZxLqlEK6crmlCpQVTtoDwpmARFE%3D%7Ctkp%3ABFBM5qG0hYNk
UMIDIGI Power 5 Smartphone 4GB +128G 6150mAh Android Unlocked GSM+CDMA Open Box,Professionnel,"92,85","154,75","29,88",0,0,https://www.ebay.fr/itm/285783947860?itmmeta=01J0C5D23CAZWZ8GMTB29VV65C&hash=item428a0cfa54:g:fEcAAOSwDl1hhkXw&amdata=enc%3AAQAJAAAA0JYmtTD8PK4jCN1qoaVgp4D4Bp9FfWkPV48x21CxRAN%2B6P4pUhMwd8e%2FdrdOFvI7GHxuTJUJVZ7UHqDq%2BRwK3Hkjs8SrRT6pScJc2t3vTBYmIS4laqxpRC7gyjZx%2BEZc1mg3GO62mEisDc0VoLthlKaL4hAoX9k1ktxBOPOyoSR8TO9X9Fq%2FLflv%2Boj9X71gZM9j4qAXtIx8NQBgmO7ZMm%2FgiGLcnH6fyUCgtOwrcuts9Ak5Lt%2F%2BCOPUcJgqPSKTgJBFHvelWCOz7ZCuP6ZMLvA%3D%7Ctkp%3ABFBM5qG0hYNk&var=587806094868
S88 Plus 8/128 Gb 3G / LTE Orange Unlocked,Particulier,"284,34",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285865511281?itmmeta=01J0C5D9FCN12S63CCBNDYY87D&hash=item428ee98971:g:zhgAAOSwqQJjegfk
Nouvelle annonceBL8800 Pro 5G 8/128GB 3G / LTE / GPS Orange Unlocked,Particulier,"424,39",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285907456238?itmmeta=01J0C5D9FCXAN0Y6ST5DQT0NK2&hash=item42916990ee:g:-qEAAOSwARRjSrEO
Samsung Galaxy J3 (2018) J337A J337T J337V 2GB RAM 16GB ROM Cellphone Original ,Professionnel,"75,45","79,42",Livraison gratuite,0,0,https://www.ebay.fr/itm/404693944337?itmmeta=01J0C5D9FCCFVQBBXNZZ9V16XR&hash=item5e39a38811:g:7l4AAOSwavtinhGr&var=674691824680
Lenovo A706 3G Dual SIM Mobile Phone Android 4GB ROM Bluetooth Wifi Cellphone,Professionnel,"70,76",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/363532566953?itmmeta=01J0C5D9FC1FKWNGRFFWERNG92&hash=item54a43ac1a9:g:HNgAAOSwWD1ZsOjy
03.Car Phone Motorola Ameritech AC-250 - For Collectors,Particulier,"37,13",N/A,"37,14",0,0,https://www.ebay.fr/itm/165993421786?itmmeta=01J0C5D9FC6N6NT0PVF42XHD83&hash=item26a5fa9bda:g:bhwAAOSwE1dkGv3w
Original Unlocked Nokia Asha 2020 Mobile Phone MP3 Camera Bar Style Phone,Professionnel,"46,51","48,96",Livraison gratuite,0,0,https://www.ebay.fr/itm/363532539407?itmmeta=01J0C5D9FC9R1MPKP62MVA01Q9&hash=item54a43a560f:g:UZQAAOSwiYFXJM8j&var=632756282395
"SAMSUNG REPP (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 58681",Professionnel,"12,90",N/A,"245,95",0,0,https://www.ebay.fr/itm/186211151327?itmmeta=01J0C5D9FC9H943XVDRPJYA6ZY&hash=item2b5b0caddf:g:0mMAAOSw4lNlfMAt
E20 2/32 Go 3G / LTE / GPS graphite débloqué,Particulier,"123,57",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285875038678?itmmeta=01J0C5D9FCV0DRKQQFT95WNJ58&hash=item428f7ae9d6:g:wc0AAOSwSgxjb16T
Golchi 2 en 1 bouteille en acier inoxydable,Professionnel,"41,53",N/A,"39,00",0,0,https://www.ebay.fr/itm/126506833516?itmmeta=01J0C5D9FCQXA32MN7KSAA2W3Z&hash=item1d7465166c:g:6FQAAOSw-cxmWExB&var=427546620246
S41 Pro 4/32Gb 3G / LTE Orange Unlocked,Particulier,"181,65",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285879687363?itmmeta=01J0C5D9FC1D5J6NRGN7R79V6V&hash=item428fc1d8c3:g:41EAAOSw4-xjx~Ku
Samsung Galaxy A10 SM-A105G/DS Dual Sim 32GB ROM 4G LTE Original Smartphone,Professionnel,"88,53","94,18",Livraison gratuite,0,0,https://www.ebay.fr/p/22031414826?iid=355380067006&var=624560281010&rt=nc
"KYOCERA CYCLOPS (VIRGIN MOBILE) CLEAN ESN, UNTESTED, PLEASE READ!! 59205",Professionnel,"13,88",N/A,"245,95",0,0,https://www.ebay.fr/itm/186268246226?itmmeta=01J0C5D9FC4987X7MBFN70PX6Q&hash=item2b5e73e0d2:g:zVAAAOSwUnxlsVPm
ROM (2016-PRESENT) #6A,Professionnel,"3,70",N/A,"31,38",0,0,https://www.ebay.fr/itm/374888533117?itmmeta=01J0C5D9FDQYJBD42DNM8Y423B&hash=item5749190c7d:g:MoUAAOSwxi1k33ds
Original NOKIA 6270 Bluetooth MP3 MP4 player Unlocked Mobile phone,Professionnel,"93,45",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/364334282577?itmmeta=01J0C5D9FDYQ2N2C3RT8RMV9M3&hash=item54d403f751:g:AEAAAOSwaVNawfEa&var=633853858379
"Android Xiaomi Redmi 5 Dual SIM 16GB / 32GB ROM  12MP Phone 4G LTE 5.7""",Professionnel,"72,10  à 74,88",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/364467184956?itmmeta=01J0C5D9FDGVARR8M0MHY7MH11&hash=item54dbefe53c:g:E1cAAOSwakpc4s1E&var=633971578181
11 6/128gb 3G / LTE / GPS Blue Unlocked,Particulier,"231,02",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285902270476?itmmeta=01J0C5D9FDCEEVTBJERWGH1436&hash=item42911a700c:g:1lIAAOSwXOhjXRFp
"Android Original Samsung Galaxy J2 Core SM-J260G/DS 8MP Dual SIM Phone 5.0""",Professionnel,"70,20","74,69",Livraison gratuite,0,0,https://www.ebay.fr/itm/355205828524?itmmeta=01J0C5D9FDNSWG4PHEYZ1VRZ6Y&hash=item52b3eacfac:g:t-4AAOSwBlFgf-D~
SCHOK VOLT - SV55216 - PARTS ONLY,Particulier,"4,60",N/A,"32,96",0,0,https://www.ebay.fr/itm/186396344005?itmmeta=01J0C5D9FDYP0P357EA12CR8W7&hash=item2b66167ec5:g:W60AAOSwEutlz75x
Samsung Galaxy A50 SM-A505FD Android Dual SIM 4GB RAM 64GB ROM Phone,Professionnel,"123,96","130,48",Livraison gratuite,0,0,https://www.ebay.fr/itm/404688001545?itmmeta=01J0C5D9FD9CB6G4ZXKC87CG3Q&hash=item5e3948da09:g:3bAAAOSwu-RisT5j&var=674686078030
2 (LE7n) 4/128 Go 3G / LTE / GPS noir débloqué,Particulier,"208,38",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285884028192?itmmeta=01J0C5D9FDGMJ7QCACERZ70JVZ&hash=item4290041520:g:qiQAAOSw1dVjle-s
X93 2/16Gb 3G / LTE Green Unlocked,Particulier,"112,63",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285865511295?itmmeta=01J0C5D9FDSTJVN8BWJN5PHX10&hash=item428ee9897f:g:tMsAAOSwGu5jmFYI
Nouvelle annonceGoogle Pixel 8 Pro 128GB Gold Unlocked AT&T T-Mobile Verizon 100% batt! 7585915,Professionnel,"589,52","928,37","47,25",0,0,https://www.ebay.fr/p/11063122054?iid=296503120473&rt=nc
A31 Plus 1/32 Go 3G / LTE / GPS gris débloqué,Particulier,"116,00",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285884028185?itmmeta=01J0C5D9FD80Y1R16XWV1F84Y8&hash=item4290041519:g:4ToAAOSwhAJjcMYK
Jitterbug Smart2 The Simplest Smartphone New Unused With Guides Charging Cord,Particulier,"29,23","32,48","27,65",0,0,https://www.ebay.fr/itm/145732550195?itmmeta=01J0C5D9FDXP1A7JBSXZC1N6ZE&hash=item21ee563e33:g:94wAAOSwwWpmIewR
"MOTOROLA 120E (ALLTEL) CLEAN ESN, UNTESTED, PLEASE READ!! 58479",Professionnel,"12,90",N/A,"245,95",0,0,https://www.ebay.fr/itm/186194716375?itmmeta=01J0C5D9FDPGNPE39BQ0WP1MDG&hash=item2b5a11e6d7:g:Vy4AAOSwf1dlbkPS
2 5G 8/128 Go 3G / LTE / GPS gris débloqué,Particulier,"607,53",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285903970866?itmmeta=01J0C5D9FD7PFPPWEHFKWKBRG3&hash=item4291346232:g:47cAAOSweGZje5Wc
X97 3/16Gb 3G / LTE Green Unlocked,Particulier,"135,05",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285903983802?itmmeta=01J0C5D9FDFQAG94FV9299Z8QT&hash=item42913494ba:g:0ZQAAOSwiBVjqtBe
"Android Motorola MOTO E6 E (6th Gen.) 13.0MP  Smartphone 5.5""",Professionnel,"62,35","66,33",Livraison gratuite,0,0,https://www.ebay.fr/p/26041551523?iid=355651238137&var=624757989357&rt=nc
"LG 320G (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 56429",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/185961000053?itmmeta=01J0C5D9FDMQ3K15YDHKVP4TKR&hash=item2b4c23ac75:g:3uQAAOSwkfpkmusu
"Original Motorola Moto M XT1663 XT1662 4G LTE 16MP 5.5"" 32GB ROM 4GB RAM Phone",Professionnel,"61,64","64,88","16,71",0,0,https://www.ebay.fr/itm/334658125484?itmmeta=01J0C5D9FD39ZKMCQ8E21KDES4&hash=item4deb2dbeac:g:KuYAAOSwvNVjkf23&var=543798977474
"KYOCERA DURAXTP (SPRINT) CLEAN ESN, WORKS, PLEASE READ!! 57188",Professionnel,"24,16",N/A,"245,95",0,0,https://www.ebay.fr/itm/186057867151?itmmeta=01J0C5D9FD61531MX1RB84MKZY&hash=item2b51e9bf8f:g:q8QAAOSwEmBk8LHE
"Feature Phone 2.4""Display Dual Sim Loud Speaeker MP3 Sound Recorder Senior Phone",Professionnel,"24,69",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/134947822244?itmmeta=01J0C5D9FDQGS1YZ05709ZYKEH&hash=item1f6b845aa4:g:vQwAAOSw4eRl1sQZ&var=434395444771
Original Motorola Moto Z XT1650 4GB 64GB Single SIM 4G LTE Unlocked Phone 13MP,Professionnel,"84,17","89,54",Livraison gratuite,1,0,https://www.ebay.fr/itm/354952636101?itmmeta=01J0C5D9FDV77QAZC67W8GMSBM&hash=item52a4d366c5:g:MqgAAOSwyo1jlI4X&var=624238387606
2 (LE7n) 4/128 Go 3G / LTE / GPS argent débloqué,Particulier,"208,38",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285882611334?itmmeta=01J0C5D9FDJC2P87CFJ6WB8ZZ7&hash=item428fee7686:g:6H0AAOSwCodjmHj~
"Feature Phone 2.4"" Display Dual Sim Loud Speaeker MP3 Sound Recorder Senior",Professionnel,"22,70","23,90",Livraison gratuite,0,0,https://www.ebay.fr/itm/355412693326?itmmeta=01J0C5D9FD02DEHWVA3HB0415Y&hash=item52c03f514e:g:olIAAOSw~9xlsxff&var=624585905476
WIFI HTC One 802w Dual SIM GSM WCDMA Qual Core 32GB Original Unlocked Phone,Professionnel,"84,90",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/363532558580?itmmeta=01J0C5D9FDPFPPZZ44PSZZME65&hash=item54a43aa0f4:g:rE4AAOSwfZ1WbtOC&var=632756326994
"M5 4/64GB 3G/ LTE/GPS 6.58"", IPS, 2408x1080) / MediaTek Helio G99 Black Unlocked",Particulier,"177,72",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285863826930?itmmeta=01J0C5D9FDC4S22W8FEZGFV131&hash=item428ecfd5f2:g:K6cAAOSwemNjTVrM
"MOTOROLA MOTO G6 (UNKNOWN CARRIER) WORKS, PLEASE READ!! 58467",Professionnel,"32,29",N/A,"245,95",0,0,https://www.ebay.fr/itm/186194508288?itmmeta=01J0C5D9FD1AQB9J2WF6P7X3R4&hash=item2b5a0eba00:g:L5cAAOSwP5FlbiQf
Cellphone LG K8 K350 Dual SIM 4G Wifi 8GB ROM 1.5GB RAM Quad-core Original ,Professionnel,"62,35","66,33",Livraison gratuite,0,0,https://www.ebay.fr/itm/354940135916?itmmeta=01J0C5D9FDZ9RH7HKZGF8RBE00&hash=item52a414a9ec:g:iFMAAOSwFARawx55&var=624229617485
"ALCATEL TCL A2 (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 58674",Professionnel,"12,90",N/A,"245,95",0,0,https://www.ebay.fr/itm/186211073303?itmmeta=01J0C5D9FDGWBD7TCQVYJ8V3R3&hash=item2b5b0b7d17:g:dnYAAOSwJb1lfKiN
C20 Pro 2/32 Go Dual Sim 3G / LTE / GPS violet débloqué,Particulier,"111,21",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285866817322?itmmeta=01J0C5D9FDTSP1ESW8CZD3XPKS&hash=item428efd772a:g:H~UAAOSwZxNjk0Su
Nouvelle annonceTÉLÉPHONE PORTABLE SAMSUNG F480 TOCCO 3G TOUCH - DÉBLOQUÉ AVEC CHARGEUR NEUF ET GARANTIE,Professionnel,"29,62",N/A,"23,69",0,0,https://www.ebay.fr/p/111279984?iid=276508943047&rt=nc
Single-SIM Samsung Galaxy A51 SM-A515U (USA)128GB ROM Smart Phone,Professionnel,"121,29","129,03",Livraison gratuite,0,0,https://www.ebay.fr/p/4038381615?iid=266537719303&var=566311570891&rt=nc
3 BB2 1/16 Go 3G noir débloqué,Particulier,"101,98",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/285866817328?itmmeta=01J0C5D9FDC8QJFCKZCZFXE9Z7&hash=item428efd7730:g:qlUAAOSwV51jWnrJ
"CLOUD MOBILE STRATUS C5 (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ!! 58677",Professionnel,"12,90",N/A,"245,95",0,0,https://www.ebay.fr/itm/186211092175?itmmeta=01J0C5D9FD9EVQ4M39F5194KAD&hash=item2b5b0bc6cf:g:YigAAOSwY61lfLE~
"Unlocked Sony Xperia XZs Dual SIM G8342 Single SIM G8341 32GB Smartphone 5.2""",Professionnel,"90,89  à 95,25","96,69",Livraison gratuite,0,0,https://www.ebay.fr/itm/196001557220?itmmeta=01J0C5D9FDDZA38DWAT8AZVY4M&hash=item2da29a6ae4:g:UZQAAOSwA99iXnTT&var=495869320336
Samsung Galaxy S24 Ultra Case Anti-Scratch Dual Layer Shockproof Defender Cover,Particulier,"21,34",N/A,"19,87",0,0,https://www.ebay.fr/itm/166582815781?itmmeta=01J0C5D9FDTAFRP76A53Q4KDDT&hash=item26c91c0c25:g:qdwAAOSwjzxlv~kK
Original Unlocked Nokia 6.1 Dual SIM 4G LTE 4/32GB ROM 4/64GB ROM Phone 16MP,Professionnel,"83,13  à 87,49","88,43",Livraison gratuite,0,0,https://www.ebay.fr/p/18020659361?iid=176209474521&var=475657342799&rt=nc
